,id,card
0,0,Knight
1,1,Archers
2,2,Goblins
3,3,Giant
4,4,P.E.K.K.A
5,5,Minions
6,6,Balloon
7,7,Witch
8,8,Barbarians
9,9,Golem
10,10,Skeletons
11,11,Valkyrie
12,12,Skeleton Army
13,13,Bomber
14,14,Musketeer
15,15,Baby Dragon
16,16,Prince
17,17,Wizard
18,18,Mini P.E.K.K.A
19,19,Spear Goblins
20,20,Giant Skeleton
21,21,Hog Rider
22,22,Minion Horde
23,23,Ice Wizard
24,24,Royal Giant
25,25,Guards
26,26,Princess
27,27,Dark Prince
28,28,Three Musketeers
29,29,Lava Hound
30,30,Ice Spirit
31,31,Fire Spirit
32,32,Miner
33,33,Sparky
34,34,Bowler
35,35,Lumberjack
36,36,Battle Ram
37,37,Inferno Dragon
38,38,Ice Golem
39,39,Mega Minion
40,40,Dart Goblin
41,41,Goblin Gang
42,42,Electro Wizard
43,43,Elite Barbarians
44,44,Hunter
45,45,Executioner
46,46,Bandit
47,47,Royal Recruits
48,48,Night Witch
49,49,Bats
50,50,Royal Ghost
51,51,Ram Rider
52,52,Zappies
53,53,Rascals
54,54,Cannon Cart
55,55,Mega Knight
56,56,Skeleton Barrel
57,57,Flying Machine
58,58,Wall Breakers
59,59,Royal Hogs
60,60,Goblin Giant
61,61,Fisherman
62,62,Magic Archer
63,63,Electro Dragon
64,64,Firecracker
65,65,Elixir Golem
66,66,Battle Healer
67,67,Skeleton King
68,68,Archer Queen
69,69,Golden Knight
70,70,Skeleton Dragons
71,71,Mother Witch
72,72,Electro Spirit
73,73,Electro Giant
74,74,Cannon
75,75,Goblin Hut
76,76,Mortar
77,77,Inferno Tower
78,78,Bomb Tower
79,79,Barbarian Hut
80,80,Tesla
81,81,Elixir Collector
82,82,X-Bow
83,83,Tombstone
84,84,Furnace
85,85,Goblin Cage
86,86,Goblin Drill
87,87,Fireball
88,88,Arrows
89,89,Rage
90,90,Rocket
91,91,Goblin Barrel
92,92,Freeze
93,93,Mirror
94,94,Lightning
95,95,Zap
96,96,Poison
97,97,Graveyard
98,98,The Log
99,99,Tornado
100,100,Clone
101,101,Earthquake
102,102,Barbarian Barrel
103,103,Heal Spirit
104,104,Giant Snowball
105,105,Royal Delivery
